Gene	Chip_FC	RNA_FC
slc24a3(3of5)	-1.19	1.783428248
slc25a1(1of3)	-1.06	-3.398495049
slc25a5(1of5)	-1.23	2.945226826
slc26a6(1of2)	5.36	-3.789084745
slc35a3(2of2)	-1.13	-2.332334164
slc35f6	5.13	1.245402585
slc37a4(2of2)	-1.09	1.363684132
slc3a1	-1.24	-4.016040441
slc43a2(2of2)	-6.3	2.317479387
slc4a4(2of2)	-2.69	1.128704176
slc8a1(1of4)	-1.2	-1.613030189
smad3(1of2)	-1.32	1.072059781
smad4(2of3)	-1.91	3.84939576
smad9	-5.9	2.435704102
smoc2	-1.15	-2.331378749
sntg2	-1.61	1.287915199
sobp(1of2)	-1.32	1.00517552
socs3	-2.99	1.369599639
socs7(2of2)	-2.78	2.565280787
soga1(2of2)	-1.11	-1.682690004
sowahb	-1.64	1.622326596
sox1(1of2)	-1.57	-2.318889029
sox2(1of3)	-1.53	-1.822937841
sox2(3of3)	-1.13	-1.42831747
sox21	-1.45	-1.785626768
sox4(1of2)	-1.58	-1.953385072
sox5	-1.38	-1.112308537
sox6(1of2)	-1.31	-1.090516406
sox9(2of3)	-1.03	-2.030142375
sox9(3of3)	-1.47	-1.917555992
sp5(2of2)	-1.13	-1.131107799
sp8(1of2)	-1.56	-1.115834408
sp8(2of2)	-1.58	-1.089874948
sparc(1of2)	-2.03	-1.517253323
spns2	-1.34	-1.078749277
st3gal2(2of2)	-1.61	1.958425215
st8sia1	-1.25	-1.307757986
stard10(2of3)	-1.43	-2.284363432
stard10(3of3)	-1.19	-3.119056066
stk10(1of2)	-1.3	2.203979733
stmn1(2of2)	-1.2	-1.538272723
stmn2(2of2)	-1.5	-2.596892992
strbp	-1.03	-1.206108292
stx5	-2	-1.516738778
sult2b1(3of4)	-1.23	-2.299136578
sult4a1	-1.14	1.552939065
sv2a(2of2)	-1.29	-2.139695636
swap70(3of3)	-1.03	1.199941406
sycp3	-1.63	2.272133234
syngr2(2of2)	-1.53	1.983183681
synm	-1.51	2.358732077
synrg	-1.07	1.286923373
syt14(1of2)	-1.03	-2.895692197
t(2of2)	-1.12	-1.608411278
taf13	-1.49	-1.158938727
taok3(1of2)	-1.07	1.854502921
tbc1d30	-1.06	-1.025431881
tbr1(2of2)	-1.61	2.007209416
tbx1(2of2)	-1.26	-1.435015765
tbx5(2of2)	-1.57	-1.25771951
tcea3	-2.16	2.197730241
tcf15(2of2)	-1.55	1.880713053
tcf21	-1.13	-1.563074208
tctn1	-1.22	-1.238903987
tdrd7(1of2)	-1.79	-5.644934073
tecta(4of5)	-1.17	-3.900754342
tesk2(1of3)	-1.44	2.740120936
tfap2a	-1.34	2.676202198
tfeb	2	2.452587104
tgfa	-1.46	2.352606364
tgfb3(1of2)	-1.11	-2.275646142
tgfbr2(1of3)	-1.05	2.726024138
them6(2of2)	-1.3	1.023859863
tinagl1	6.17	3.470118152
tle1(2of2)	-1.51	-1.038277611
tlr5(1of2)	-1.43	3.300403661
tlx3(1of3)	-1.28	-5.51617536
tlx3(2of3)	-1.51	-1.710059779
tm4sf1	-1.61	1.542596862
tmeff1(2of2)	-1.13	-1.921390089
tmem145	-1.1	1.845567085
tmem178b(3of3)	-1.19	2.328685445
tmem179(1of2)	-1.29	2.807372175
tmem200a(1of2)	-1.49	-2.719252686
tmem200c(1of2)	-1.02	1.119653575
tmem242	-2.08	1.335491591
tmem42(1of2)	-1.85	1.716832619
tnfrsf11b(2of4)	-1.23	2.669938779
tnfsf11	-1.26	1.022171702
tnik(1of3)	-1.6	1.411336132
tnr	-1.24	2.84300886
tnrc18	-2.47	1.675730601
tns1(2of2)	-1.42	1.288586108
tom1(1of2)	-1.33	1.903211269
top1(3of3)	-1.92	1.519637775
tpbg(3of4)	-1.77	-1.480122252
tpm1(3of3)	-1.2	-1.523769619
trh	-1.15	-4.483142651
trhr(1of3)	-1.14	-1.401428214
trim13	-1.62	1.132050173
trim36	-1.82	-1.830420916
trim67	-1.31	-1.441826042
trim68(1of2)	-1.41	2.052544774
trpc1	-1.03	3.552666045
tsc22d3(1of2)	-1.18	1.356734937
tshz1(3of3)	-1.04	-1.742982944
tshz2	-1.39	-1.657689087
tspan11	5.43	2.148752918
ttbk1	-1.13	2.066946716
ttbk2(1of2)	-1.08	2.513620842
ttc25	-2.12	-2.553907954
ttc28(4of4)	-1.07	-1.655045938
ttll7	-1.02	-4.021295311
tubb4b(1of5)	-2.08	1.811893895
tubgcp5	-1.93	-1.702947724
twsg1	-1.63	-1.260261644
tyrp1(2of2)	-1.33	-7.468233334
ube2ql1	-1.31	1.04901304
unc119(2of2)	-1.2	-2.326327164
unc13a(2of2)	-1.28	2.324794854
ung	-1.06	-2.106423919
usp13	5.08	2.335514464
usp46	-1.52	-1.479424355
usp6nl(3of3)	-1.6	2.101854119
vat1(2of2)	-1.52	-2.873678315
vat1l(1of2)	-1.22	-3.728068755
vax1	-2.45	-2.348610193
vax2	-1.52	-1.741533072
vgf(1of2)	-1.32	-4.98735145
vgf(2of2)	-1.49	2.738273417
vgll3	-1.02	2.010085189
vit	-1.15	-2.35448717
vkorc1l1(2of2)	-1.65	1.188326604
vsnl1(1of3)	-1.04	1.209574697
vwde(1of3)	-1.92	-1.482665949
wdr7(2of2)	-1.55	1.111910183
wnt1	-1.39	-1.457131911
wnt6	-1.38	-1.465385794
wnt7b(1of2)	-1.05	-2.030006875
wnt8b	-1.16	-2.71587111
wnt9b	-1.38	-2.784293956
xpr1(1of2)	-1.01	-1.037836441
zar1(2of2)	-1.07	4.30619172
zbtb7b	-1.18	-1.284673974
zeb2(3of3)	-1.74	-1.595721245
zfhx4	-1.23	-1.815048986
zfp423	-1.28	-1.297177047
zfp503(1of2)	-1.15	-1.166545072
zfp524	-1.43	-1.032628654
zfp536(1of3)	-2.06	1.089600624
zfp536(3of3)	-1.28	-1.692748656
zic4(2of2)	-1.34	-2.646813275
		
