GOBPID,Term
GO:0045446,endothelial cell differentiation
GO:0071166,ribonucleoprotein complex localization
GO:0006595,polyamine metabolic process
GO:0072050,S-shaped body morphogenesis
GO:0035112,genitalia morphogenesis
GO:0072282,metanephric nephron tubule morphogenesis
GO:0097101,blood vessel endothelial cell fate specification
GO:1900121,negative regulation of receptor binding
GO:0060846,blood vessel endothelial cell fate commitment
GO:0060847,endothelial cell fate specification
GO:0060685,regulation of prostatic bud formation
GO:0000712,resolution of meiotic recombination intermediates
GO:0045717,negative regulation of fatty acid biosynthetic process
GO:0072014,proximal tubule development
GO:0035290,trunk segmentation
GO:0010935,regulation of macrophage cytokine production
GO:0046532,regulation of photoreceptor cell differentiation
GO:0046533,negative regulation of photoreceptor cell differentiation
GO:0046607,positive regulation of centrosome cycle
GO:0036484,trunk neural crest cell migration
GO:0036486,ventral trunk neural crest cell migration
GO:2000974,negative regulation of pro-B cell differentiation
GO:1902969,mitotic DNA replication
GO:0019042,viral latency
GO:0097490,sympathetic neuron projection extension
GO:0097491,sympathetic neuron projection guidance
GO:0051170,nuclear import
GO:0060412,ventricular septum morphogenesis
GO:0031589,cell-substrate adhesion
GO:0009101,glycoprotein biosynthetic process
GO:0050819,negative regulation of coagulation
GO:0021884,forebrain neuron development
GO:0019377,glycolipid catabolic process
GO:0015669,gas transport
GO:0003211,cardiac ventricle formation
GO:0007494,midgut development
GO:0048261,negative regulation of receptor-mediated endocytosis
GO:0048266,behavioral response to pain
GO:0060004,reflex
GO:0007171,activation of transmembrane receptor protein tyrosine kinase activity
GO:0034350,regulation of glial cell apoptotic process
GO:0034351,negative regulation of glial cell apoptotic process
GO:0030214,hyaluronan catabolic process
GO:0035058,nonmotile primary cilium assembly
GO:0072049,comma-shaped body morphogenesis
GO:0072033,renal vesicle formation
GO:0061101,neuroendocrine cell differentiation
GO:0051450,myoblast proliferation
GO:1902855,regulation of nonmotile primary cilium assembly
GO:0050730,regulation of peptidyl-tyrosine phosphorylation
GO:0048588,developmental cell growth
GO:0071242,cellular response to ammonium ion
GO:0003401,axis elongation
GO:0021602,cranial nerve morphogenesis
GO:0035050,embryonic heart tube development
GO:0001934,positive regulation of protein phosphorylation
GO:0021700,developmental maturation
GO:0030513,positive regulation of BMP signaling pathway
GO:0014909,smooth muscle cell migration
GO:0043536,positive regulation of blood vessel endothelial cell migration
GO:0045682,regulation of epidermis development
GO:0051129,negative regulation of cellular component organization
GO:0002576,platelet degranulation
GO:0022404,molting cycle process
GO:0022405,hair cycle process
GO:0043200,response to amino acid
GO:0009636,response to toxic substance
GO:1900047,negative regulation of hemostasis
GO:0030195,negative regulation of blood coagulation
GO:0001889,liver development
GO:0010565,regulation of cellular ketone metabolic process
GO:0008334,histone mRNA metabolic process
GO:0045730,respiratory burst
GO:0021889,olfactory bulb interneuron differentiation
GO:0009892,negative regulation of metabolic process
GO:1901136,carbohydrate derivative catabolic process
GO:0001558,regulation of cell growth
GO:0048536,spleen development
GO:2000826,regulation of heart morphogenesis
GO:0051130,positive regulation of cellular component organization
GO:0048667,cell morphogenesis involved in neuron differentiation
GO:1903364,positive regulation of cellular protein catabolic process
GO:0060351,cartilage development involved in endochondral bone morphogenesis
GO:0071426,ribonucleoprotein complex export from nucleus
GO:0042303,molting cycle
GO:0042633,hair cycle
GO:0033273,response to vitamin
GO:2000177,regulation of neural precursor cell proliferation
GO:0048704,embryonic skeletal system morphogenesis
GO:0060548,negative regulation of cell death
GO:0060538,skeletal muscle organ development
GO:0097192,extrinsic apoptotic signaling pathway in absence of ligand
GO:0038034,signal transduction in absence of ligand
GO:0000375,"RNA splicing, via transesterification reactions"
GO:0048026,"positive regulation of mRNA splicing, via spliceosome"
GO:0061549,sympathetic ganglion development
GO:0072109,glomerular mesangium development
GO:0061178,regulation of insulin secretion involved in cellular response to glucose stimulus
GO:0060603,mammary gland duct morphogenesis
GO:0010862,positive regulation of pathway-restricted SMAD protein phosphorylation
GO:1902742,apoptotic process involved in development
GO:0007405,neuroblast proliferation
GO:0046822,regulation of nucleocytoplasmic transport
GO:0009891,positive regulation of biosynthetic process
GO:0061387,regulation of extent of cell growth
GO:0060393,regulation of pathway-restricted SMAD protein phosphorylation
GO:1900740,positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway
GO:1900739,regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway
GO:0097421,liver regeneration
GO:0097205,renal filtration
GO:0019730,antimicrobial humoral response
GO:0090103,cochlea morphogenesis
GO:0071711,basement membrane organization
GO:0043171,peptide catabolic process
GO:2001054,negative regulation of mesenchymal cell apoptotic process
GO:0007095,mitotic G2 DNA damage checkpoint
GO:0071600,otic vesicle morphogenesis
GO:0046386,deoxyribose phosphate catabolic process
GO:0055015,ventricular cardiac muscle cell development
GO:1902337,regulation of apoptotic process involved in morphogenesis
GO:0021612,facial nerve structural organization
GO:0002313,mature B cell differentiation involved in immune response
GO:0050918,positive chemotaxis
GO:0006720,isoprenoid metabolic process
GO:0031328,positive regulation of cellular biosynthetic process
GO:0010463,mesenchymal cell proliferation
GO:0002821,positive regulation of adaptive immune response
GO:0050900,leukocyte migration
GO:0048469,cell maturation
GO:0048854,brain morphogenesis
GO:0051445,regulation of meiotic cell cycle
GO:0030902,hindbrain development
GO:0003417,growth plate cartilage development
GO:0033630,positive regulation of cell adhesion mediated by integrin
GO:0048843,negative regulation of axon extension involved in axon guidance
GO:0048671,negative regulation of collateral sprouting
GO:0042074,cell migration involved in gastrulation
GO:0009130,pyrimidine nucleoside monophosphate biosynthetic process
GO:0051798,positive regulation of hair follicle development
GO:0021785,branchiomotor neuron axon guidance
GO:0003205,cardiac chamber development
GO:0033043,regulation of organelle organization
GO:0031047,gene silencing by RNA
GO:1990776,response to angiotensin
GO:0003289,atrial septum primum morphogenesis
GO:0003273,cell migration involved in endocardial cushion formation
GO:1900115,extracellular regulation of signal transduction
GO:1900116,extracellular negative regulation of signal transduction
GO:0034969,histone arginine methylation
GO:0045617,negative regulation of keratinocyte differentiation
GO:0050910,detection of mechanical stimulus involved in sensory perception of sound
GO:0061307,cardiac neural crest cell differentiation involved in heart development
GO:0061308,cardiac neural crest cell development involved in heart development
GO:0031223,auditory behavior
GO:0046813,receptor-mediated virion attachment to host cell
GO:0009223,pyrimidine deoxyribonucleotide catabolic process
GO:0006285,"base-excision repair, AP site formation"
GO:0031398,positive regulation of protein ubiquitination
GO:0042327,positive regulation of phosphorylation
GO:0060384,innervation
GO:0071480,cellular response to gamma radiation
GO:2000352,negative regulation of endothelial cell apoptotic process
GO:0021514,ventral spinal cord interneuron differentiation
GO:0030534,adult behavior
GO:0060260,regulation of transcription initiation from RNA polymerase II promoter
GO:0051606,detection of stimulus
GO:2000181,negative regulation of blood vessel morphogenesis
GO:0060068,vagina development
GO:0090656,t-circle formation
GO:0036066,protein O-linked fucosylation
GO:1902410,mitotic cytokinetic process
GO:0002407,dendritic cell chemotaxis
GO:0006265,DNA topological change
GO:0007569,cell aging
GO:0051101,regulation of DNA binding
GO:0051099,positive regulation of binding
GO:0048641,regulation of skeletal muscle tissue development
GO:0006606,protein import into nucleus
GO:0044744,protein targeting to nucleus
GO:0050954,sensory perception of mechanical stimulus
GO:0030155,regulation of cell adhesion
GO:0050808,synapse organization
GO:0003170,heart valve development
GO:0008347,glial cell migration
GO:0097345,mitochondrial outer membrane permeabilization
GO:0061008,hepaticobiliary system development
GO:0016445,somatic diversification of immunoglobulins
GO:0000387,spliceosomal snRNP assembly
GO:0045190,isotype switching
GO:2000401,regulation of lymphocyte migration
GO:0002204,somatic recombination of immunoglobulin genes involved in immune response
GO:0002208,somatic diversification of immunoglobulins involved in immune response
GO:0007519,skeletal muscle tissue development
GO:0002066,columnar/cuboidal epithelial cell development
GO:0044030,regulation of DNA methylation
GO:2001053,regulation of mesenchymal cell apoptotic process
GO:1903672,positive regulation of sprouting angiogenesis
GO:0007220,Notch receptor processing
GO:0061082,myeloid leukocyte cytokine production
GO:0042276,error-prone translesion synthesis
GO:0010569,regulation of double-strand break repair via homologous recombination
GO:0042693,muscle cell fate commitment
GO:0000398,"mRNA splicing, via spliceosome"
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"
GO:0002700,regulation of production of molecular mediator of immune response
GO:0060850,regulation of transcription involved in cell fate commitment
GO:0098534,centriole assembly
GO:0030856,regulation of epithelial cell differentiation
GO:0040019,positive regulation of embryonic development
GO:0016525,negative regulation of angiogenesis
GO:0071322,cellular response to carbohydrate stimulus
GO:0042306,regulation of protein import into nucleus
GO:0042100,B cell proliferation
GO:0051055,negative regulation of lipid biosynthetic process
GO:0044708,single-organism behavior
GO:0048666,neuron development
GO:0032504,multicellular organism reproduction
GO:2000573,positive regulation of DNA biosynthetic process
GO:0002824,positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
GO:0007565,female pregnancy
GO:1901796,regulation of signal transduction by p53 class mediator
GO:0033262,regulation of nuclear cell cycle DNA replication
GO:0060767,epithelial cell proliferation involved in prostate gland development
GO:0072178,nephric duct morphogenesis
GO:0072202,cell differentiation involved in metanephros development
GO:0035886,vascular smooth muscle cell differentiation
GO:0001710,mesodermal cell fate commitment
GO:0072606,interleukin-8 secretion
GO:1902668,negative regulation of axon guidance
GO:0006206,pyrimidine nucleobase metabolic process
GO:0048384,retinoic acid receptor signaling pathway
GO:0006997,nucleus organization
GO:0003272,endocardial cushion formation
GO:0021697,cerebellar cortex formation
GO:0043537,negative regulation of blood vessel endothelial cell migration
GO:0001701,in utero embryonic development
GO:0008037,cell recognition
GO:0061371,determination of heart left/right asymmetry
GO:1902110,positive regulation of mitochondrial membrane permeability involved in apoptotic process
GO:1902686,mitochondrial outer membrane permeabilization involved in programmed cell death
GO:0008544,epidermis development
GO:0003073,regulation of systemic arterial blood pressure
GO:0048709,oligodendrocyte differentiation
GO:0045724,positive regulation of cilium assembly
GO:0014075,response to amine
GO:0055012,ventricular cardiac muscle cell differentiation
GO:2000737,negative regulation of stem cell differentiation
GO:1903825,organic acid transmembrane transport
GO:0042491,auditory receptor cell differentiation
GO:0009948,anterior/posterior axis specification
GO:0072528,pyrimidine-containing compound biosynthetic process
GO:0002381,immunoglobulin production involved in immunoglobulin mediated immune response
GO:1902692,regulation of neuroblast proliferation
GO:1902667,regulation of axon guidance
GO:1902593,single-organism nuclear import
GO:0048609,multicellular organismal reproductive process
GO:0003207,cardiac chamber formation
GO:0048853,forebrain morphogenesis
GO:0030916,otic vesicle formation
GO:0061004,pattern specification involved in kidney development
GO:0072048,renal system pattern specification
GO:0009129,pyrimidine nucleoside monophosphate metabolic process
GO:2000269,regulation of fibroblast apoptotic process
GO:0050871,positive regulation of B cell activation
GO:0014014,negative regulation of gliogenesis
GO:0002702,positive regulation of production of molecular mediator of immune response
GO:0010629,negative regulation of gene expression
GO:0015849,organic acid transport
GO:0002440,production of molecular mediator of immune response
GO:0045661,regulation of myoblast differentiation
GO:0000902,cell morphogenesis
GO:0003209,cardiac atrium morphogenesis
GO:1901976,regulation of cell cycle checkpoint
GO:2000351,regulation of endothelial cell apoptotic process
GO:2000142,"regulation of DNA-templated transcription, initiation"
GO:2001240,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
GO:0060561,apoptotic process involved in morphogenesis
GO:1901099,negative regulation of signal transduction in absence of ligand
GO:0072079,nephron tubule formation
GO:0032506,cytokinetic process
GO:0071456,cellular response to hypoxia
GO:0034097,response to cytokine
GO:0071482,cellular response to light stimulus
GO:0061383,trabecula morphogenesis
GO:0051298,centrosome duplication
GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
GO:0097152,mesenchymal cell apoptotic process
GO:0071157,negative regulation of cell cycle arrest
GO:0046134,pyrimidine nucleoside biosynthetic process
GO:0021604,cranial nerve structural organization
GO:0007416,synapse assembly
GO:0036294,cellular response to decreased oxygen levels
GO:0060350,endochondral bone morphogenesis
GO:0010770,positive regulation of cell morphogenesis involved in differentiation
GO:0048678,response to axon injury
GO:0002793,positive regulation of peptide secretion
GO:1901654,response to ketone
GO:0019985,translesion synthesis
GO:0071453,cellular response to oxygen levels
GO:0090025,regulation of monocyte chemotaxis
GO:0048340,paraxial mesoderm morphogenesis
GO:0003190,atrioventricular valve formation
GO:0090280,positive regulation of calcium ion import
GO:0030431,sleep
GO:0060872,semicircular canal development
GO:0000212,meiotic spindle organization
GO:0072071,kidney interstitial fibroblast differentiation
GO:0072110,glomerular mesangial cell proliferation
GO:0010248,establishment or maintenance of transmembrane electrochemical gradient
GO:0046479,glycosphingolipid catabolic process
GO:0035860,glial cell-derived neurotrophic factor receptor signaling pathway
GO:2000018,regulation of male gonad development
GO:0010811,positive regulation of cell-substrate adhesion
GO:0051205,protein insertion into membrane
GO:0048799,organ maturation
GO:0060795,cell fate commitment involved in formation of primary germ layer
GO:0031960,response to corticosteroid
GO:0070314,G1 to G0 transition
GO:0090197,positive regulation of chemokine secretion
GO:0007351,tripartite regional subdivision
GO:0090220,chromosome localization to nuclear envelope involved in homologous chromosome segregation
GO:0048630,skeletal muscle tissue growth
GO:0016584,nucleosome positioning
GO:0060666,dichotomous subdivision of terminal units involved in salivary gland branching
GO:0008216,spermidine metabolic process
GO:0045141,meiotic telomere clustering
GO:0008595,"anterior/posterior axis specification, embryo"
GO:0061085,regulation of histone H3-K27 methylation
GO:0050923,regulation of negative chemotaxis
GO:0072081,specification of nephron tubule identity
GO:0072086,specification of loop of Henle identity
GO:0072047,proximal/distal pattern formation involved in nephron development
GO:0072038,mesenchymal stem cell maintenance involved in nephron morphogenesis
GO:0072710,response to hydroxyurea
GO:0042668,auditory receptor cell fate determination
GO:0032071,regulation of endodeoxyribonuclease activity
GO:1902018,negative regulation of cilium assembly
GO:0021798,forebrain dorsal/ventral pattern formation
GO:0021886,hypothalamus gonadotrophin-releasing hormone neuron differentiation
GO:0021888,hypothalamus gonadotrophin-releasing hormone neuron development
GO:0021873,forebrain neuroblast division
GO:1902338,negative regulation of apoptotic process involved in morphogenesis
GO:0021648,vestibulocochlear nerve morphogenesis
GO:0006273,lagging strand elongation
GO:0006244,pyrimidine nucleotide catabolic process
GO:0042698,ovulation cycle
GO:0009725,response to hormone
GO:0046545,development of primary female sexual characteristics
GO:0009953,dorsal/ventral pattern formation
GO:0008285,negative regulation of cell proliferation
GO:0070372,regulation of ERK1 and ERK2 cascade
GO:0009612,response to mechanical stimulus
GO:0008585,female gonad development
GO:0045860,positive regulation of protein kinase activity
GO:0017038,protein import
GO:1903050,regulation of proteolysis involved in cellular protein catabolic process
GO:0046942,carboxylic acid transport
GO:0003081,regulation of systemic arterial blood pressure by renin-angiotensin
GO:0048385,regulation of retinoic acid receptor signaling pathway
GO:0072215,regulation of metanephros development
GO:0032331,negative regulation of chondrocyte differentiation
GO:2000404,regulation of T cell migration
GO:0031572,G2 DNA damage checkpoint
GO:0032570,response to progesterone
GO:0070307,lens fiber cell development
GO:0001991,regulation of systemic arterial blood pressure by circulatory renin-angiotensin
GO:0021561,facial nerve development
GO:0021610,facial nerve morphogenesis
GO:0043174,nucleoside salvage
GO:0061180,mammary gland epithelium development
GO:0061045,negative regulation of wound healing
GO:0001947,heart looping
GO:0048771,tissue remodeling
GO:1901607,alpha-amino acid biosynthetic process
GO:0010833,telomere maintenance via telomere lengthening
GO:0010633,negative regulation of epithelial cell migration
GO:0001523,retinoid metabolic process
GO:0042692,muscle cell differentiation
GO:0007281,germ cell development
GO:0034605,cellular response to heat
GO:0035116,embryonic hindlimb morphogenesis
GO:0046825,regulation of protein export from nucleus
GO:0002637,regulation of immunoglobulin production
GO:0045937,positive regulation of phosphate metabolic process
GO:0010562,positive regulation of phosphorus metabolic process
GO:0033674,positive regulation of kinase activity
GO:0051100,negative regulation of binding
GO:1904589,regulation of protein import
GO:1904031,positive regulation of cyclin-dependent protein kinase activity
GO:0030219,megakaryocyte differentiation
GO:0007628,adult walking behavior
GO:0010453,regulation of cell fate commitment
GO:0071705,nitrogen compound transport
GO:0035265,organ growth
GO:0003203,endocardial cushion morphogenesis
GO:0002791,regulation of peptide secretion
GO:0097529,myeloid leukocyte migration
GO:0043086,negative regulation of catalytic activity
GO:0048048,embryonic eye morphogenesis
GO:0003206,cardiac chamber morphogenesis
GO:0000122,negative regulation of transcription from RNA polymerase II promoter
GO:0010639,negative regulation of organelle organization
GO:0090192,regulation of glomerulus development
GO:0090177,establishment of planar polarity involved in neural tube closure
GO:0090231,regulation of spindle checkpoint
GO:0060008,Sertoli cell differentiation
GO:0048711,positive regulation of astrocyte differentiation
GO:1903963,arachidonate transport
GO:0060600,dichotomous subdivision of an epithelial terminal unit
GO:0071481,cellular response to X-ray
GO:0050482,arachidonic acid secretion
GO:0061430,bone trabecula morphogenesis
GO:0045922,negative regulation of fatty acid metabolic process
GO:0035385,Roundabout signaling pathway
GO:0042401,cellular biogenic amine biosynthetic process
GO:0009309,amine biosynthetic process
GO:0009264,deoxyribonucleotide catabolic process
GO:0036065,fucosylation
GO:2000482,regulation of interleukin-8 secretion
GO:0021520,spinal cord motor neuron cell fate specification
GO:1902547,regulation of cellular response to vascular endothelial growth factor stimulus
GO:0006450,regulation of translational fidelity
GO:1903313,positive regulation of mRNA metabolic process
GO:0032024,positive regulation of insulin secretion
GO:0014910,regulation of smooth muscle cell migration
GO:0021695,cerebellar cortex development
GO:0006301,postreplication repair
GO:0042592,homeostatic process
GO:0022617,extracellular matrix disassembly
GO:0050810,regulation of steroid biosynthetic process
GO:0033120,positive regulation of RNA splicing
GO:0045686,negative regulation of glial cell differentiation
GO:0090101,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:1990266,neutrophil migration
GO:0003333,amino acid transmembrane transport
GO:0001578,microtubule bundle formation
GO:0031175,neuron projection development
GO:0090277,positive regulation of peptide hormone secretion
GO:0006283,transcription-coupled nucleotide-excision repair
GO:2000738,positive regulation of stem cell differentiation
GO:0051098,regulation of binding
GO:0044281,small molecule metabolic process
GO:0043488,regulation of mRNA stability
GO:0060537,muscle tissue development
GO:0015718,monocarboxylic acid transport
GO:0048599,oocyte development
GO:0048668,collateral sprouting
GO:0010623,developmental programmed cell death
GO:0021696,cerebellar cortex morphogenesis
GO:0048232,male gamete generation
GO:0061061,muscle structure development
GO:0051384,response to glucocorticoid
GO:0042113,B cell activation
GO:0090305,nucleic acid phosphodiester bond hydrolysis
GO:0043067,regulation of programmed cell death
GO:0003171,atrioventricular valve development
GO:0016447,somatic recombination of immunoglobulin gene segments
GO:0045737,positive regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0007099,centriole replication
GO:0030325,adrenal gland development
GO:0071346,cellular response to interferon-gamma
GO:0050807,regulation of synapse organization
GO:2001239,regulation of extrinsic apoptotic signaling pathway in absence of ligand
GO:0021587,cerebellum morphogenesis
GO:0003008,system process
GO:0007276,gamete generation
GO:0071158,positive regulation of cell cycle arrest
GO:0008652,cellular amino acid biosynthetic process
GO:0006596,polyamine biosynthetic process
GO:0070341,fat cell proliferation
GO:0070344,regulation of fat cell proliferation
GO:0044342,type B pancreatic cell proliferation
GO:1903504,regulation of mitotic spindle checkpoint
GO:0044849,estrous cycle
GO:0090266,regulation of mitotic cell cycle spindle assembly checkpoint
GO:0060573,cell fate specification involved in pattern specification
GO:0050930,induction of positive chemotaxis
GO:0010224,response to UV-B
GO:0021559,trigeminal nerve development
GO:0021521,ventral spinal cord interneuron specification
GO:0022028,tangential migration from the subventricular zone to the olfactory bulb
GO:2000973,regulation of pro-B cell differentiation
GO:0016101,diterpenoid metabolic process
GO:0006493,protein O-linked glycosylation
GO:0070371,ERK1 and ERK2 cascade
GO:0072676,lymphocyte migration
GO:0045862,positive regulation of proteolysis
GO:0033143,regulation of intracellular steroid hormone receptor signaling pathway
GO:0035150,regulation of tube size
GO:0007566,embryo implantation
GO:1901264,carbohydrate derivative transport
GO:0030516,regulation of axon extension
GO:0001892,embryonic placenta development
GO:0048339,paraxial mesoderm development
GO:0003174,mitral valve development
GO:0003215,cardiac right ventricle morphogenesis
GO:1900120,regulation of receptor binding
GO:0031498,chromatin disassembly
GO:0045910,negative regulation of DNA recombination
GO:0072283,metanephric renal vesicle morphogenesis
GO:0009855,determination of bilateral symmetry
GO:0015711,organic anion transport
GO:0043413,macromolecule glycosylation
GO:0006486,protein glycosylation
GO:0006687,glycosphingolipid metabolic process
GO:1901701,cellular response to oxygen-containing compound
GO:0060042,retina morphogenesis in camera-type eye
GO:0060395,SMAD protein signal transduction
GO:0060389,pathway-restricted SMAD protein phosphorylation
GO:0035773,insulin secretion involved in cellular response to glucose stimulus
GO:0090659,walking behavior
GO:2000036,regulation of stem cell population maintenance
GO:0042981,regulation of apoptotic process
GO:0003018,vascular process in circulatory system
GO:2001222,regulation of neuron migration
GO:0060236,regulation of mitotic spindle organization
GO:0030201,heparan sulfate proteoglycan metabolic process
GO:0046189,phenol-containing compound biosynthetic process
GO:0044706,multi-multicellular organism process
GO:0000302,response to reactive oxygen species
GO:0052204,negative regulation of molecular function in other organism involved in symbiotic interaction
GO:0052205,modulation of molecular function in other organism involved in symbiotic interaction
GO:0070199,establishment of protein localization to chromosome
GO:0015671,oxygen transport
GO:0044362,negative regulation of molecular function in other organism
GO:0044359,modulation of molecular function in other organism
GO:0033564,anterior/posterior axon guidance
GO:0048312,intracellular distribution of mitochondria
GO:1903624,regulation of DNA catabolic process
GO:0060449,bud elongation involved in lung branching
GO:0060215,primitive hemopoiesis
GO:0034397,telomere localization
GO:0030277,maintenance of gastrointestinal epithelium
GO:0007638,mechanosensory behavior
GO:1904672,regulation of somatic stem cell population maintenance
GO:0008655,pyrimidine-containing compound salvage
GO:0042364,water-soluble vitamin biosynthetic process
GO:0061551,trigeminal ganglion development
GO:0072141,renal interstitial fibroblast development
GO:0046385,deoxyribose phosphate biosynthetic process
GO:2000020,positive regulation of male gonad development
GO:0009265,2'-deoxyribonucleotide biosynthetic process
GO:0021794,thalamus development
GO:0043097,pyrimidine nucleoside salvage
GO:0021562,vestibulocochlear nerve development
GO:0021554,optic nerve development
GO:0021636,trigeminal nerve morphogenesis
GO:0021637,trigeminal nerve structural organization
GO:1902287,semaphorin-plexin signaling pathway involved in axon guidance
GO:2000587,negative regulation of platelet-derived growth factor receptor-beta signaling pathway
GO:0002347,response to tumor cell
GO:0097084,vascular smooth muscle cell development
GO:0052428,modification by host of symbiont molecular function
GO:0044283,small molecule biosynthetic process
GO:0022604,regulation of cell morphogenesis
GO:0007520,myoblast fusion
GO:0050830,defense response to Gram-positive bacterium
GO:0007283,spermatogenesis
GO:0044253,positive regulation of multicellular organismal metabolic process
GO:0003416,endochondral bone growth
GO:0007143,female meiotic division
GO:0061548,ganglion development
GO:0010714,positive regulation of collagen metabolic process
GO:0006309,apoptotic DNA fragmentation
GO:0032967,positive regulation of collagen biosynthetic process
GO:0022037,metencephalon development
GO:0008344,adult locomotory behavior
GO:0061418,regulation of transcription from RNA polymerase II promoter in response to hypoxia
GO:0015931,nucleobase-containing compound transport
GO:0033574,response to testosterone
GO:1903670,regulation of sprouting angiogenesis
GO:0061098,positive regulation of protein tyrosine kinase activity
GO:0034341,response to interferon-gamma
GO:0038061,NIK/NF-kappaB signaling
GO:0097530,granulocyte migration
GO:0061035,regulation of cartilage development
GO:0032270,positive regulation of cellular protein metabolic process
GO:0003143,embryonic heart tube morphogenesis
GO:1901989,positive regulation of cell cycle phase transition
GO:1902653,secondary alcohol biosynthetic process
GO:0000768,syncytium formation by plasma membrane fusion
GO:0017145,stem cell division
GO:1902275,regulation of chromatin organization
GO:0003407,neural retina development
GO:0035794,positive regulation of mitochondrial membrane permeability
GO:1902108,regulation of mitochondrial membrane permeability involved in apoptotic process
GO:0030593,neutrophil chemotaxis
GO:0031076,embryonic camera-type eye development
GO:0043039,tRNA aminoacylation
GO:0044058,regulation of digestive system process
GO:0033145,positive regulation of intracellular steroid hormone receptor signaling pathway
GO:0070293,renal absorption
GO:0060120,inner ear receptor cell fate commitment
GO:0010544,negative regulation of platelet activation
GO:0001946,lymphangiogenesis
GO:0009912,auditory receptor cell fate commitment
GO:0015909,long-chain fatty acid transport
GO:0051965,positive regulation of synapse assembly
GO:0002708,positive regulation of lymphocyte mediated immunity
GO:0003179,heart valve morphogenesis
GO:0071230,cellular response to amino acid stimulus
GO:0032330,regulation of chondrocyte differentiation
GO:1903362,regulation of cellular protein catabolic process
GO:0070085,glycosylation
GO:0009408,response to heat
GO:0060343,trabecula formation
GO:0050926,regulation of positive chemotaxis
GO:0072074,kidney mesenchyme development
GO:0032069,regulation of nuclease activity
GO:0002052,positive regulation of neuroblast proliferation
GO:0009799,specification of symmetry
GO:0050657,nucleic acid transport
GO:0050658,RNA transport
GO:0051236,establishment of RNA localization
GO:0048103,somatic stem cell division
GO:0001990,regulation of systemic arterial blood pressure by hormone
GO:0032722,positive regulation of chemokine production
GO:0006308,DNA catabolic process
GO:1903829,positive regulation of cellular protein localization
GO:0003231,cardiac ventricle development
GO:0007368,determination of left/right symmetry
GO:0032964,collagen biosynthetic process
GO:0072176,nephric duct development
GO:0001556,oocyte maturation
GO:2000463,positive regulation of excitatory postsynaptic potential
GO:0036336,dendritic cell migration
GO:2000678,negative regulation of transcription regulatory region DNA binding
GO:0006293,"nucleotide-excision repair, preincision complex stabilization"
GO:0090276,regulation of peptide hormone secretion
GO:0033628,regulation of cell adhesion mediated by integrin
GO:0031670,cellular response to nutrient
GO:0009225,nucleotide-sugar metabolic process
GO:0001937,negative regulation of endothelial cell proliferation
GO:0040008,regulation of growth
GO:0046717,acid secretion
GO:0001938,positive regulation of endothelial cell proliferation
GO:0002377,immunoglobulin production
GO:0034622,cellular macromolecular complex assembly
GO:0072583,clathrin-mediated endocytosis
GO:0043113,receptor clustering
GO:0003197,endocardial cushion development
GO:0031102,neuron projection regeneration
GO:0060443,mammary gland morphogenesis
GO:0006949,syncytium formation
GO:0006418,tRNA aminoacylation for protein translation
GO:1903322,positive regulation of protein modification by small protein conjugation or removal
GO:0043038,amino acid activation
GO:0070242,thymocyte apoptotic process
GO:0070208,protein heterotrimerization
GO:0003344,pericardium morphogenesis
GO:0060525,prostate glandular acinus development
GO:0061314,Notch signaling involved in heart development
GO:0042423,catecholamine biosynthetic process
GO:0018216,peptidyl-arginine methylation
GO:0046514,ceramide catabolic process
GO:0009713,catechol-containing compound biosynthetic process
GO:0043249,erythrocyte maturation
GO:2000977,regulation of forebrain neuron differentiation
GO:0002551,mast cell chemotaxis
GO:2001252,positive regulation of chromosome organization
GO:0046890,regulation of lipid biosynthetic process
GO:0043487,regulation of RNA stability
GO:0006607,NLS-bearing protein import into nucleus
GO:0003094,glomerular filtration
GO:2000104,negative regulation of DNA-dependent DNA replication
GO:0021544,subpallium development
GO:0040020,regulation of meiotic nuclear division
GO:0050796,regulation of insulin secretion
GO:0032102,negative regulation of response to external stimulus
GO:1904019,epithelial cell apoptotic process
GO:1903651,positive regulation of cytoplasmic transport
GO:0043065,positive regulation of apoptotic process
GO:0007338,single fertilization
GO:0050880,regulation of blood vessel size
GO:2001236,regulation of extrinsic apoptotic signaling pathway
GO:0019953,sexual reproduction
GO:0030878,thyroid gland development
GO:1901889,negative regulation of cell junction assembly
GO:1902230,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage
GO:0022412,cellular process involved in reproduction in multicellular organism
GO:0051028,mRNA transport
GO:0014706,striated muscle tissue development
GO:0021795,cerebral cortex cell migration
GO:0071695,anatomical structure maturation
GO:1901992,positive regulation of mitotic cell cycle phase transition
GO:0071431,tRNA-containing ribonucleoprotein complex export from nucleus
GO:0006409,tRNA export from nucleus
GO:0008156,negative regulation of DNA replication
GO:0007096,regulation of exit from mitosis
GO:0048845,venous blood vessel morphogenesis
